Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4 tes filter,Chrome 121.0.0.0,,,09-02-2024 23:11:00,09-02-2024 23:13:41,2m - 41.165s,PASSED
,,,,,,,
Test Cases/1. Positive test case/5 Filter item (switch-case),Chrome 121.0.0.0,pengujian menambahkan 1 item kedalam chart,,09-02-2024 23:11:00,09-02-2024 23:11:18,17.544s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,09-02-2024 23:11:01,09-02-2024 23:11:02,1.917s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,09-02-2024 23:11:02,09-02-2024 23:11:05,2.614s,PASSED
"click(findTestObject(""Object Repository/Fitur Filter 2/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,09-02-2024 23:11:05,09-02-2024 23:11:10,4.563s,PASSED
filterType = filtername,Chrome 121.0.0.0,,,09-02-2024 23:11:10,09-02-2024 23:11:10,0.001s,PASSED
switch (filterType),Chrome 121.0.0.0,,,09-02-2024 23:11:10,09-02-2024 23:11:13,2.914s,PASSED
delay(5),Chrome 121.0.0.0,,,09-02-2024 23:11:13,09-02-2024 23:11:18,5.029s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,09-02-2024 23:11:18,09-02-2024 23:11:18,0.252s,PASSED
,,,,,,,
Test Cases/1. Positive test case/5 Filter item (switch-case),Chrome 121.0.0.0,pengujian menambahkan 1 item kedalam chart,,09-02-2024 23:11:18,09-02-2024 23:11:33,15.448s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,09-02-2024 23:11:18,09-02-2024 23:11:19,0.716s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,09-02-2024 23:11:19,09-02-2024 23:11:21,2.507s,PASSED
"click(findTestObject(""Object Repository/Fitur Filter 2/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,09-02-2024 23:11:21,09-02-2024 23:11:25,4.062s,PASSED
filterType = filtername,Chrome 121.0.0.0,,,09-02-2024 23:11:25,09-02-2024 23:11:25,0.000s,PASSED
switch (filterType),Chrome 121.0.0.0,,,09-02-2024 23:11:25,09-02-2024 23:11:28,2.906s,PASSED
delay(5),Chrome 121.0.0.0,,,09-02-2024 23:11:28,09-02-2024 23:11:33,5.011s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,09-02-2024 23:11:33,09-02-2024 23:11:33,0.221s,PASSED
,,,,,,,
Test Cases/1. Positive test case/5 Filter item (switch-case),Chrome 121.0.0.0,pengujian menambahkan 1 item kedalam chart,,09-02-2024 23:11:33,09-02-2024 23:11:49,15.209s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,09-02-2024 23:11:33,09-02-2024 23:11:34,0.644s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,09-02-2024 23:11:34,09-02-2024 23:11:37,2.542s,PASSED
"click(findTestObject(""Object Repository/Fitur Filter 2/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,09-02-2024 23:11:37,09-02-2024 23:11:41,4.041s,PASSED
